epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,161.878,1.21104,1.56566,1.43829,0.87599,0.59977,0.72938,0.47777,1.32203,1.29046,1.55819,8.73335e-05,8.73335e-05,8.73335e-05
40,167.527,1.21606,1.59022,1.47308,0.79606,0.58726,0.70811,0.4619,1.32999,1.30611,1.54118,8.70001e-05,8.70001e-05,8.70001e-05
41,173.001,1.19141,1.57855,1.44142,0.86299,0.57908,0.71308,0.48092,1.26881,1.27474,1.51325,8.66668e-05,8.66668e-05,8.66668e-05
42,178.504,1.15332,1.48813,1.40823,0.88321,0.57546,0.70551,0.45781,1.32706,1.2711,1.56082,8.63335e-05,8.63335e-05,8.63335e-05
43,183.997,1.21113,1.52651,1.44592,0.86527,0.59045,0.73984,0.52931,1.16101,1.19681,1.37805,8.60001e-05,8.60001e-05,8.60001e-05
44,189.643,1.15072,1.47213,1.41352,0.85685,0.55656,0.69122,0.42429,1.38664,1.36668,1.63849,8.56668e-05,8.56668e-05,8.56668e-05
45,195.108,1.12866,1.44325,1.40079,0.87611,0.57741,0.72274,0.49652,1.24195,1.2227,1.50919,8.53335e-05,8.53335e-05,8.53335e-05
46,200.577,1.14424,1.43258,1.39432,0.80896,0.60236,0.73437,0.49849,1.26552,1.25031,1.47861,8.50002e-05,8.50002e-05,8.50002e-05
47,206.016,1.177,1.51932,1.4167,0.83552,0.6194,0.74901,0.51269,1.22883,1.16912,1.42539,8.46668e-05,8.46668e-05,8.46668e-05
48,211.492,1.13805,1.43703,1.38966,0.80603,0.67026,0.76623,0.52138,1.23773,1.12667,1.45047,8.43335e-05,8.43335e-05,8.43335e-05
49,216.413,1.12688,1.41996,1.39501,0.83671,0.63353,0.76303,0.52792,1.14909,1.11831,1.37025,8.40002e-05,8.40002e-05,8.40002e-05
50,220.448,1.14026,1.46323,1.40254,0.77636,0.64919,0.75291,0.52643,1.22726,1.14037,1.40537,8.36668e-05,8.36668e-05,8.36668e-05
51,224.455,1.16966,1.44178,1.41582,0.79426,0.6871,0.76438,0.53355,1.1964,1.10842,1.3783,8.33335e-05,8.33335e-05,8.33335e-05
52,228.549,1.17491,1.43635,1.42396,0.88671,0.56875,0.73071,0.47646,1.34129,1.23248,1.57868,8.30002e-05,8.30002e-05,8.30002e-05
53,232.674,1.16374,1.50158,1.41614,0.87699,0.59288,0.74013,0.45996,1.3489,1.18003,1.60724,8.26668e-05,8.26668e-05,8.26668e-05
54,236.774,1.14387,1.42679,1.38686,0.79788,0.66363,0.75139,0.51121,1.23777,1.10675,1.46103,8.23335e-05,8.23335e-05,8.23335e-05
55,240.792,1.1204,1.40709,1.37885,0.80132,0.66197,0.77276,0.54542,1.16913,1.09023,1.39513,8.20002e-05,8.20002e-05,8.20002e-05
56,244.911,1.13247,1.42027,1.39088,0.83591,0.62672,0.74898,0.53064,1.16451,1.11173,1.39151,8.16669e-05,8.16669e-05,8.16669e-05
57,248.951,1.14605,1.37869,1.41504,0.78948,0.63377,0.75496,0.52099,1.20516,1.15746,1.41208,8.13335e-05,8.13335e-05,8.13335e-05
58,252.988,1.07222,1.33389,1.34889,0.85949,0.59687,0.74853,0.50997,1.31348,1.1572,1.50409,8.10002e-05,8.10002e-05,8.10002e-05
59,257.047,1.14551,1.39488,1.39606,0.86696,0.59252,0.74356,0.51627,1.24352,1.11804,1.43067,8.06669e-05,8.06669e-05,8.06669e-05
60,261.07,1.12078,1.36107,1.37878,0.81439,0.64426,0.76106,0.4948,1.38847,1.13154,1.56033,8.03335e-05,8.03335e-05,8.03335e-05
61,265.057,1.16396,1.38358,1.39074,0.91743,0.60204,0.77898,0.55422,1.12457,1.04317,1.34079,8.00002e-05,8.00002e-05,8.00002e-05
62,269.237,1.13898,1.36807,1.37673,0.84815,0.6454,0.76943,0.54854,1.13583,1.03434,1.33533,7.96669e-05,7.96669e-05,7.96669e-05
63,273.277,1.11218,1.31168,1.36305,0.79249,0.68118,0.77393,0.52588,1.25956,1.06881,1.48001,7.93335e-05,7.93335e-05,7.93335e-05
64,277.347,1.10738,1.3241,1.35917,0.8165,0.63687,0.7734,0.54468,1.17,1.06643,1.38746,7.90002e-05,7.90002e-05,7.90002e-05
65,281.425,1.06474,1.27269,1.32415,0.79407,0.58956,0.72141,0.49277,1.25489,1.18289,1.50215,7.86669e-05,7.86669e-05,7.86669e-05
66,285.515,1.0729,1.28099,1.33677,0.8131,0.67715,0.77878,0.52191,1.29082,1.03945,1.51895,7.83335e-05,7.83335e-05,7.83335e-05
67,289.482,1.13486,1.32651,1.38309,0.84361,0.67055,0.79151,0.51683,1.31763,1.01572,1.49184,7.80002e-05,7.80002e-05,7.80002e-05
68,293.532,1.07533,1.29848,1.32833,0.74796,0.71522,0.78257,0.55188,1.13583,1.05158,1.36356,7.76669e-05,7.76669e-05,7.76669e-05
